key,text
Siddharth Raja,"Partner at Saakshya Law, Advocates; Governor, Board of Governors, Bangalore International Centre Siddharth has extensive M&A experience (both cross border & domestic Indian) and expertise in corporate finance, PE/VC investments and general commercial law. Chambers & Partners, in their 2009, 2010, 2012 and 2013 editions, rates Siddharth in Band 1 in India for PE lawyers. Siddharth is also a Governor on the Board of Governors of the Bangalore International Centre. In July 2019, Siddharth co-founded a new, full-service law firm Saakshya Law, Advocates. Its three Founder Partners – Siddharth included – have undertaken a reorganisation / rebranding exercise. We have a larger, enhanced office, where our entire team of ten lawyers remains intact, as do our host of resources / staff having moved with us. In November 2016, Siddharth had merged his practice with Argus Partners, and was, until June 2019, that Firm's Senior Partner & National Executive Director, co-leading a team of about 15 lawyers in Bangalore, and close to sixty lawyers countrywide. For over a decade before, Siddharth helped co-found and lead one of India's leading mid-tier law firms, Samvad: Partners (earlier known as Narasappa, Doraswamy & Raja). In 2004 and 2005, Siddharth was a partner at one of India’s leading law firms headquartered in Mumbai. Siddharth headed the Bangalore and Chennai offices of this pan-India law firm. Before relocating back to India, Siddharth was an associate at the reputed international law firm, O’Melveny & Myers LLP based at that firm’s Hong Kong office. Siddharth specialized in cross-border M&A. Siddharth has also acquired specialized experience in advising leading Indian corporates with their business acquisitions and market-entry strategies in China. Siddharth has been a visiting faculty member at the Department of Management Studies of the Indian Institute of Science, Bangalore. Siddharth is admitted to practice law in India and in England & Wales. Specialties: Mergers & Acquisitions, Private Equity & Venture Capital Investments, Banking & Corporate Finance Siddharth Raja, Aditya Narayan and Megha Malhotra Narayan – the three Founder Partners - have launched a full-service law firm called ‘Saakshya Law, Advocates’. Siddharth, Aditya and Megha first joined hands three years ago to create an integrated corporate / commercial and M&A practice, alongside domestic and international commercial disputes (litigation and arbitration), real estate and indirect tax practices, as well as a significant menu card of other legal advisory services across various practice areas. In the course of our journey since 2016, we felt a pressing need to focus on our fundamental values, which is the genesis or expression of our shift to form ‘Saakshya Law’. The name of the Firm is the transliteration of the Sanskrit word, variously meaning evidence or showing – it is this meaning of ‘showing’ – or making things evident or clear – which lies at the heart of our vision to provide excellent services focused on depth of engagement and work-product, while de-emphasizing growth for its own sake. One of India's leading mid-tier corporate / commercial law Firms, present in four of the most important business centres of this country, Bangalore, Chennai, Mumbai and New Delhi. With close to 50 lawyers a dynamic and young law firm, driven by a truly professional partnership and promoting the next generation of leaders, especially women lawyers, through the ranks."
Smitha Gudagi,"Manager- Talent Acquisition at Unacademy. I lead and take overall responsibility for the TA function, meeting the organization’s talent strategy and agenda. Instrumental in building and scaling various verticals within the organization from the ground upwards by : 1) Creating & operating within a global framework by developing, implementing, and directing all aspects of TA: recruitment, organizational design, talent assessment, benefits & reward programs. 2) Ability to effectively manage recruitment systems through matrices and scorecards and leverage available technology tools to facilitate a collaborative hiring model. 3) Formulated timelines and measurable metrics to translate recruitment initiatives and metric insights into actionable strategies for the recruiting team. I have been instrumental in building and scaling the Data and ops platform teams along with a few other verticals from ground zero by introducing industry best practices to improve the overall hiring process and collaboration within the organization. Highlights: - Hired over 60+ candidates since 2018-2020 with over 60% joiners 10% of the hires through GitHub. <5% or no vendor usage for the financial year 2018- March 2020. - Extensively worked towards hiring and increasing diversity candidates. - Introduced new initiatives like employee Sourcing bash to encourage employee referrals and introductions across various teams. - Optimized and regulated employee payout system for the organization to ensure clarity and communication between recruiting and Finance along with relevant business partners across teams. - Have been instrumental in solving for recruiting problems like interview process, candidate experience, sourcing strategy, time-to-fill, and stakeholder management to name a few. - Instrumental in introducing data-driven hiring and regular reporting and partnering with various business leaders.Other initiatives: Instrumental in planning and leading projects like diversity hiring and Job description clean up [Guidelines for creating job descriptions that are clean, Gender neutral and inclusive] at an organizational level during downtime from April 2020 - June 2020. -TA -Human Resource Partner & Operations -Branding & Resource Management Collective is now the Visto hub! Visto’s purpose is to provide enterprises with agnostic solutions & services to connect their programmatic stack, bringing openness and interoperability to the digital media ecosystem. Visto Hub provides flexibility and scale while reducing operational inefficiency and bringing much-needed clarity to mitigate unnecessary tech taxes while increasing working media.I have significant experience in technical recruiting & have been Instrumental in scaling & managing engineering and business function verticals single-handedly by building & driving “data-driven” frameworks to strategically execute, engage & acquire talent in a competitive candidate market. Compensation & Benefits, Salary benchmarking, talent assessments, benefits and rewards, referral programs, vendor selection, and external relationship building were key responsibilitiesHighlights: - Instrumental in de?ning and building hiring matrices & growing the Collective team from 45 to 100+, with over 60% hires through Direct and referrals. - Reduced cost by almost 50% with source mix of over 60% of direct hires and referrals v/s agency hires & joining period. - Reduced decline rates from 80% to 20%, by being an effective marketing professional in selling the company/role to potential candidates - Implemented Longevity and reward programs for retention and employee Engagement.Attrition Management- Achieved a considerably low % of attrition with a corrective plan of reward linked to performance, derived based on the market parameter, cost & time to hire new resource and critical role.- Implemented Succession planning & Introduced continuous employee engagement to increase employee inclusivity and branding by including them in branding activities via various forums. Recruitment/Staffing/Human Resources for Microsoft India Development Centre(IDC), Sales and Marketing (SMSG) and Global Delivery (GD) -Talent Acquisition - Vendor Management -Resource Management I led the pilot process for recruitment by partnering with various businesses and by being the trusted Adviser to the Senior Management on all significant talent acquisition, Sourcing, and recruitment initiatives. Worked with the GD wing of Microsoft through Randstad. Partnered with few internal stakeholders to build robust job descriptions to correctly reflect requirements. Take accountability for all results of talent acquisition objectives within the company by reducing time-to-fill and Cost/per and increasing the quality of hires. Develop and initiate recruitment polices, Systems, and procedures including strategies and selection techniques. Establish and maintain relationships with hiring managers to stay in line with current and future hiring and business needs. Develop and implement a cohesive day-to-day recruiting operation and related programs including creative sourcing plans to attract diverse talent across all functional areas across all locations, with a focus on social media and employee referral programs specifically.Highlights: - I was a part of the pilot process and is responsible in growing the Bangalore MGST team from 30 to over 100. - Strategized and reduced hiring time from 1 Month to 2 weeks to hire 20 candidates with 100% joiners. - Recognized for the most number of Direct Hires (85%) and reduced cost by over 70% with a 12.8% diversity hire ratio. -Highest CSAT Score of 8.2 % (Both External and Internal). -Talent Acquisition - Vendor Management -Team Management - Lead a team of 4 technology recruiters and developing recruiting goals and strategies - Cross-functional collaborations and working with various HR and business teams to align initiatives and maximize Collaboration, reduce duplication, and share leading practice. - Establish and maintain contacts with various hiring sources such as moderators of crowd sourcing groups, vendors, and search agencies. - Use external research & networks to understand key trends in talent acquisition function globally & trends implications on talent strategy & programs. - De?ne SLA and TAT for Cost e?ective hiring and to measure the quality of hires and hiring e?orts. - Partnered with various stakeholders to strategize hiring across locations. - Own and improve the recruiting process and tools to drive higher quality of candidates, conversion rates, TATs, and superior candidate experience."
Smriti Ladia,"Acceleration the World's Innovation. Experienced Manager with a demonstrated history of working in the computer software industry. Skilled in Sales, Software as a Service (SaaS), Pre-sales, and Key Account Development. Strong professional with a Computer Science background. Hunter Sales on the target 50 accounts of the territory comprising Fortune 2000 organizations Responsible for mapping Customer Business Enterprise Architecture and establishing channels of communication with C level stakeholders. Drive sales of all MetricStream products, by developing, identifying, and securing all relevant sales opportunities in the target list Understanding client's business requirements and positioning the product as a comprehensive solution on both proactive and reactive basis Account nurturing and relationship management with Senior Executives. Provide effective support throughout the sales cycle from the first call to final closure – while working with cross-functional teams includes ownership of response to RFPs, setting preference via wording strong RFIs, building cross team approved compelling collaterals. Understanding and analysis of the latest trends in the market and best business practices Develop Marketing Plan and Campaign for new business acquisition - this includes co-owning the P&L on road shows, targeted market activities in the region. Engaging potential customers through consultative selling methodologies for IT solutions and products/services Positioning the company in the United States and overseas markets and to be a driving force behind the growth momentum of the company by constantly generate opportunity pipeline through various online channels and territory identification and research to create and qualify target account list Direct marketing of Zycus’ Procurement Software Solutions in a B2B environment and formulating and implementing Go-To Market sales strategies thereby networking and initiating dialogues with Senior Executives in corporate (CTO, CFO, CPO, V.P., Directors etc.) for building business opportunities Managing existing client relationships and tailor pitch Zycus’ offerings according to organization’s needs through requirement gathering, account mapping and nurturing existing customer accounts for possible up-sell opportunities Engaging potential customers through demos and product forecasting, proposal management (RFI/RFP), requirement gathering and shoe-fit analysis Market Intelligence expert to update the team about procurement and supply chain market/industry trends, sales intel, competitor development etc. Subject matter expert for best practices in Spend Analysis, Strategic Sourcing, Contract Management, Supplier Management, Procure-to-Pay etc. Managing training and development of new members to the team Manage the social media marketing initiative taken up recently ensuring dissemination of quality content on Twitter, Linkedin etc."
Srini Ramanathan,"• More than 20 years of consulting experience in Financial Services • Hands-on team-member with technology tools • Strong belief in integrity of character • Love to discuss architecture being it software or real buildings at any time. Hands on consultant to a variety of clients across multiple industries, helping them gather meaningful insights from their disparate data sources. Helped both desktop ETL, visualization and also large enterprise rollout of solutions that ensure data security, future proofing and reduce cost of ownership. Still work on programming and strategic planning on any given day. Responsible for technology recommendations to the application portfolio to reduce cost of ownership by consolidating platforms and data centers. Managed a geographically diverse team that had to handle 11 independent applications with both development and maintenance responsibilities. With team building and motivation challenges this was a tough but very satisfying engagement. Being one of the first 5 members on a project that swelled to over 150 people makes one a grandfather over 5 years but the job was technical yet encouraged me to put my business education to full use. From Blaze to Savvion to pureplay JSP or from VB and SQL programming to Java programming to ERWIN modeling this job had it all."
Srinivas Uppaluri,"I am committed to building best in class institutions and inspiring leaders to realise their full potential.I come with over 30 years of experience of working closely with top managements of various companies in addressing strategic and operational issues. I have a unique combination of having been an Advisor as well as being a Senior Executive. As an Advisor, I have guided several organisations strategic changes and building future ready organizations. As a Senior Executive, I have effectively championed and led the organization through several changes. Throughout my career, I have nurtured and groomed several individuals into effective leaders. I was the Global Head of Marketing at Infosys with responsibility for developing and communicating Infosys' vision and strategy through positioning, branding and associated marketing campaigns.Earlier, I have spent around 15 years as a Management Consultant and was part of the leadership at Andersen Business Consulting and Price Waterhouse Coopers. I advised a wide range of customers including global corporations, governments, trade missions, public sector companies, privately held companies and aid agencies. Currently, I am an advisor and mentor guiding of organisations on strategy, marketing, brand and leadership building. I guide these businesses on strategic change, building strong customer relationships, developing innovative go-to market approaches, marketing campaigns and building sustainable capabilities.I am also an accredited Leadership Coach and work with several leaders in shaping up the right vision. I bring strong experience in helping the coachee build rigor in his/ her implementation plans and to provide oversight and guidance to address their challenges during implementation.I am working with wide range of coachees including CEOs and CXOs, Business and Functional Heads, across IT, Business Consulting, Global Shared Service Centres, Banks, Investment Banking businesses."
Sriram S + ivalue,"Specializes in Business Management of Technology solutions; High growth results in both Business and Technology management, Profit centre head as Chief Executive, Successful experience in equity and debt fund raise.....Strategic investment and Private equity investment in equity with debt fund raise for working capital management.Technology as a differentiation of Business role as CIO, Business Manager for Wipro’s Printer's, UPS and Laser products - Products in various life cycle; Large account & Channel management roles with Wipro; Pre-sales role to identify new opportunities and build solutions on Apple platform with Wipro ; Multiple roles at Wipro’s Manufacturing unit at Mysore – Vendor development & management; Quality Assurance of high end computers; Audit cell for product, system and process aimed at continuous improvementSpecialities: Business management as Profit centre head, Technology management as CIO/CTO, Equity & Debt fund raise through Strategic and PE funding. People & Project management, Business development, Brand management, Channel management, Large Account management, Vendor development, 6 Sigma, EFQM, ISO, Balanced Score Card, Pareto, 5S; Expertise to manage business in different life cycle; excels in getting the best out of people creating motivated, aligned & winning team for sustained performance;"
Sruthi Ramachandran,"Sr. Director - Customer Success at HackerRank. Heading the Customer Success Function for India / APAC at HackerRank HackerRank is a technology hiring platform that is the standard for assessing developer skills for over 1000 companies across industries, around the world. By enabling tech recruiters and hiring managers to objectively evaluate talent at every stage of the recruiting process, HackerRank helps companies hire skilled developers and innovate faster. Heading New Business Acquisition - ENT and SMB/MM at HackerRank. Heading new business acquisition across domains - IT, ITES, Retail, Engineering, Manufacturing, BFSI, and KPO domains. Specialties - Focus on manpower consulting solutions in the Lateral & Campus space. New business acquisition for manpower services under Retail and BFSI domains. Sales Manager for South India"
Subhash Dhar,Mentor and Advisor to companies on Go-to-Market strategies for western markets. Experienced growth leader with proven track record in building billion dollar global business. Picked by World Economic Forum as a Young Global Leader. Served on Board of Governors of his alma mater Indian Institute of Management Bangalore
Sudeep Nair,"FinTech-enabled Business Transformation || M&A Integration || Digital Strategy at First Abu Dhabi Bank (FAB). ? 20+ years of experience in CxO-level advisory and execution roles across FinTech & Business Transformation ? Transformed global businesses through mergers, divestitures, digitization, outsourcing & new business set-up ? Cross-functional expertise in Process, Technology and Information Management aspects of Banking ? Proven track record in delivering multi-million dollar ROI within aggressive timelines ? Leadership in capability development, revenue growth, cost optimization ? Career spanning USA, Switzerland, UK, India and Middle East ? Strong interpersonal, leadership, analytical and problem-solving skills ? B1-Level knowledge of German as a Foreign Language. First Abu Dhabi Bank (FAB) is the biggest bank in UAE with $250 billion of assets. In my current role I contribute to the execution of the following aspects of FAB's strategy : 1. Post-merger integration and transformation (US, UK, France, India, Egypt) 2. Transformation of international footprint through divestment of non-core assets 3. Growth initiatives in Payments Domain Currently responsible for integrating FAB's acquisition of Bank Audi Egypt (53 branches, 1600 employees). At Cedar I led a team of high-performing FinTech Consultants in advising CxOs across GCC Region on Business Transformation Envisioning & Blueprinting, Program Strategy & Design, Partner Selection and Program Execution. Strategy, Planning and Design 1. Design of Target Operating Model for a bank in Fujairah 2. Wealth Management & CRM Strategy for a leading bank in Qatar 3. Selection of Trade Finance platform for a Dubai-based bank 4. Data Warehouse Strategy for a leading bank in Kuwait 5. Re-design of General Ledger Accounting Platform for a bank in Kuwait 6. Process Flow Design for one of the largest banks in UAE 7. Core Banking Capability & Gap Analysis for a leading bank in Qatar Product and Partner Evaluation 1. Core Banking Platform evaluation for a major bank in Qatar 2. Core Banking Selection at a leading Oman bank 3. Cards Management System Selection at a Lebanese Bank Transformation Program Governance 1. Roll-out of of Flexcube core banking platform at a bank in Lebanon 2. Oversight for implementation of Finacle at a leading bank in Dubai 3. Program Management of Finacle Implementation for a mid-size bank in Kuwait 4. Implementation of Cards Management System for a Lebanese Bank 5. Roll-out of Business Process Management Platform for a bank in Oman. Over the years JLT has grown inorganically (USD 1 Billion Revenue, 7000 employees) through bolt-on acquisitions in 35 countries across 3 major product lines - Risk Management Advisory, Employee Benefits Advisory and Insurance Underwriting Platforms. My mandate as the Head of Business Transformation was as follows: Customer Service Strategy 1. Customer Analytics for Profitabilty Improvement at JLT Canada 2. Contact Centre Strategy for Employee Benefits Business, UK Operating Model Transformation 1. Feasibility assessment of Shared Services Centre for Hong Kong 2. Design of Operating Model for Catastophe Modelling Team IT Strategy 1. Vendor evaluation for Re-Insurance Platform of JLT Canada 2. IT Strategy for high-volume insurance business of JLT UK 3. Complex & Large Scale Program Management 4. Program Leadership for JLT’s Market Entry into India 5. Planning for modernization of JLT Asia’s Processes I was recognized with the 2013 Annual Award of Excellence for improving JLT`s Brand visibility. In this role I had the dual responsibility of managing critical engagements in Business Consulting for clients in Europe and USA, primarily for global banks and insurance companies 2007-12: I was based in Zurich (Switzerland) for five years to lead business development, engagement delivery & team development for Cognizant Business-IT Strategy for Banks 1. Core Banking Transformation for Credit Suisse, Zurich 2. Sourcing Strategy for Rabobank, Amsterdam 3. IT Operating Model Design for Credit Suisse, Zurich 4. IT Portfolio Analysis for T-Systems, Germany Program Planning, Change Management & Governance 1. Program Risk Assessment at Aegon Insurance 2. Integrated Program Management for ING, Amsterdam 3. Program Diagnostic & Turnaround at ACI, Spain/Italy 4. IT Operating Model Design for Bayer, Germany 5. Shared Services for Merger between UCB & Schwarz, Germany Enterprise System Selection & Strategy 1. SAP Effective Assessment at Cable & Wireless, London 2. Pharmacovigilance Landscape Assessment for GSK, London 3. Master Data Management Platform Vision for Novartis, Switzerland 4. Data Management Strategy for Nestle, Switzerland 2004-07: I was part of the team that set up Cognizant`s Business Consulting practice in USA & India Business-IT Strategy 1. Three- Year IT Strategy for Union Bank of California, San Francisco 2. Process Offshoring Strategy for MetLife, Boston 3. Enterprise Architecture Strategy for Sallie Mae, Indianapolis Enterprise IT Planning 1. SAP Upgrade Assessment for COACH, New York 2. Collaboration Strategy for Merrill Lynch, New York 3. Design of Delivery Excellence Platform at Cognizant Worldwide Technology-enabled Service Transformation 1. Change Management for Offshoring at Purdue Pharma, Connecticut 2. IT Organization Re-Design for Century 24, New Jersey. I was the primary interface on behalf of ICICI’s Product Technology Group to its Trade Finance Team, managing the roll-out of workflow and document management systems"
Sudhir Kulkarni + Innominds (2 about + Headline + JD),"Chief Sales Officer (CSO) | Software & Technology Services Leader | Investor / Advisor, Technology Startups | Digital Transformation & Innovation Focus. I am passionate about technology that drives business in a digital world! With barely 60 of the 1955 Fortune 500 companies still in the list, it gives me pause to think of the kind of rapidly transforming world we live in today! Average tenures on the Fortune 500 have dropped from 75 years to about 15 years and players like Facebook, Amazon and Google who don't manufacture anything, yet command huge values are now on the list. What's more, I am sure many more such digital natives are on their way to the list! I love building a company that can instill in its people, processes and products a sense of purpose that enables them to not only stay current on state of the art technology, but become a truly future proof business. Such a company, would truly be the APPLE of many eyes, not to mention being a darling of its stakeholders! I have worked to build such companies in my career, and am proud of the wonderful teams of people I have worked with, they are my endless energy source! Lead the building and scaling of front end teams for the next phase of growth of the company. Angel Investor/AdvisorAngel Investor/Advisor Technology StartupsTechnology Startups Hemex Health (www.hemexhealth.com): Affordable life-changing diagnostics Seneca Therapeutics (www.senecatherapeutics.com): Oncolytic immunotherapeutic candidates for targeted treatments for solid cancers. Stemonix - Vyant Bio (Nasdaq) VYNT (www.stemonix.com): microOrgan Technology - complex human biology for complex questions Revry (www.revry.tv): Global LGPTQ-first streaming media network InCaveo (www.incaveo.com): Platform for remote medication, monitoring and analytics for cancer and other diseases Frore (www.froresystems.com): Engineering breakthrough solutions with flexible MEMS. Cradlewise (www.cradlewise.com): Uninterrupted quality sleep for your baby, automagically. EdgeNeuralAI (www.edgeneural.ai): Platform to decentralize AI Monrow (www.monrow.in): Fashionable ladies shoes that not only look good but also feel good Astrome (www.astrome.co): Pioneering millimeter wave wireless technology Taro Foods (acq. by EatClub): Food delivery service for businesses that personalizes the way employees eat together Elevate Capital (www.elevate.vc): An inclusive Venture Capital Fund Set up and run Revenue Enablement as a coordinated service function across marketing, engineering delivery, solution innovation and partnerships to enhance the productivity of field sales teams. Create and execute effective programs and processes across the sales funnel - lead generation/nurturing, effective sales cycle execution, customer success with key accounts and revenue predictability. Proud to join the accomplished leadership team at Xoriant as it embarks on the next phase of it's growth as a leader in providing innovative digital solutions to financial services, healthcare, high tech and industrial customers. For over 25 years, Xoriant has been a recognized name in the technology services industry for its expertise in emerging technologies in Cloud Infrastructure & Security, Big Data & Analytics, Data Management, Artificial Intelligence & Machine Learning and IoT. - Helping customers in Healthcare/Life Sciences, Financial Services and High-Tech navigate technology change to become software driven businesses - Building digital solutions that enable customers transform their business meaningfully, by leveraging technology innovations- Built a business unit focused on Digital Transformation in Healthcare, Financial and other businesses - Enabling Continuous Transformation by Design at Fortune 1000 companies using the right set of technologies du jour - Implemented innovative and disruptive business models Built a high performing sales team across North America, Europe and Asia leading to several quarters of significant growth - Crafted a marketing strategy for repositioning the company from an outsourced product engineering leader to a leader in Digital Transformation - Set up the San Francisco based startup on a growth path in mobile application development services and games by hiring a top tier design and sales team - Crafted a differentiated strategy for Design Led Engineering, post successful fund raising from Sequoia Capital and IDG - Helped set the startup up for acquisition by Globo PLC (UK)"
Sudip Dutta + Relatas (2 about + header + with individual company details),"Helping Sales Organizations meet their target using Artificial Intelligence | CEO Relatas Techno-Commercial Leader SaaS Product & B2B Sales) with experience in building and selling products+ Sound entrepreneurial attitude+ Adept at top-down selling+ Love Sales and Revenue Operations+ 20+ years experience with enterprise, mid-sized companies and startups across 4 continents+ Culturally-savvy, experience working across borders and diverse teams+ Co-founded 2 profitable companies + TEDx speaker and an invited speaker to Business Schools and entrepreneurship forums. Relatas is the RevOps platform that successful teams use for Sales Execution and Forecasting with near ZERO-DATA-ENTRY. + Relatas won Next Big Idea contest conducted by Canadian Government + Relatas won the runners-up award at Google Launchpad Bangalore + Relatas got selected to Start-up Chile (8 companies from India got selected) + P&L + Lead sales & business development for mobile & cloud services across geographies. Aporv.com was the FIRST Indian online platform to showcase design creatives by Indian designers, artisans and craftspeople and help them reach out to global audience. + 2009 - Finalist at ISB Idea Social Entrepreneurship Competition + 2010 - Winner Manthan Award (attracts entries from 36 countries) + 2010 - Live Mint & WSJ Top 10 cool ideas + Responsible for new business and growth in $multi-billion accounts.+ Manage Client relationships in USA, China, Taiwan for fortune 500/1000 organizations + Managed Fortune 1000 relationships in the US + Managed Customer focused sales activities"
Suman Arunagiri,"Head of Talent Acquisition at Razorpay. HR Professional with over 18 years of experience in Talent Acquisition, C&B, Talent Management, Organizational Development, HR Operations. I have worked in the IT Services and Solutions industry in small to medium size technology companies. I managed Talent Acquisition for India, UK & the APAC region and Global Compensation & Benefits. I managed their Talent Acquisition Function for India and UK I was part of the M&A team which helped in the Transition from Collabera Solutions to Brillio Technologies I managed Global Compensation & Benefits before I went on to lead the Talent Acquisition function. I managed Talent Acquisition for Bangalore I played a lead role in C&B and was responsible for India"
Sumit Rampal + EKCS (1 about + headline + JD),"Creative and Digital Experiences Specialist, UX evangelist and Mentor I am a Creative and Digital Experiences Specialist with over two decades of experience. I have a deep understanding of User Interface Design, Digital Creatives, and User Experience with a sound knowledge of technology. My keen attention to detail and a calm demeanor help me create teams and mentor existing units to be efficient and excel in creative processes and practices. I've been fortunate enough to work with global agencies, IT companies, and startups catering to B2C and B2B clients during my career. This experience has helped me get a comprehensive perspective to provide creative and digital solutions using the latest technology offerings. I also help mentor and consult upcoming designers and startups as a passion. Responsible for leading and managing the Creative, Digital, Video, and Marketing teams at ExpressKCS. I also play an essential role in mentoring existing teams in creative quality control and efficient work practices. I further help formulate key solution frameworks for new clients and act as a subject matter expert in client and agency pitches. Tangence is a marketing services company with a presence both in India and the US and has various Fortune 500 companies in their client roster. In Tangence I was leading the creative team and also pitch in as the Subject Matter Expert for strategic initiatives and as well as new business acquisitions for both Global and Indian markets. MRM//McCann is a global digital and direct marketing agency. In my role here, I was spearheading the Chevrolet India and Lufthansa creative teams for ideation, design and execution of Digital as well as Social Media campaigns and assets.I also worked on projects and campaigns for Hero Moto Corp, AVIVA, Videocon, JCB, iGate, IREO, TATA communications and MRM Worldwide. My role also allowed me to take part in new project / client pitches as a subject specialist for Digital domain. Pixelwonderz is an outlet which helps me to experiment with and create stuff which sometimes is not provided in my roles. It is under this pseudonym I delve in other creative pursuits like Sketching, Photography and bit of Web Development. Most of the work is done gratis for friends and family."
Sunil Nair,"Chief Executive Officer India at Firework Firework | ALTBalaji | Jio | MyStar | StarPlayer | Nautanki.tv | Currently leading Firework in India and SEA. Firework helps businesses bring shoppable videos and livestream to their websites and apps. I setup India's first online video distribution platform - Nautanki.tv (acquired by Hungama in 2010 in a distress sale). I consider this failure a defining part of my career. I decided at this juncture to work with corporates to understand how they function and eventually ended up running small startups within large corporates structures at News Corp's Star Tv Network building StarPlayer and MyStar the earlier versions of Hotstar and at Jio creating business plans around the largest telecom business in India. In my last role as COO, I built ALTBalaji an Original content OTT play with over 25 M subscribers for a traditional production house. I am active in the startup circle as an advisor and mentor. I write some bit, paint abstracts during weekends and I bake sometimes. I love reading business histories, Indian history and about the origin of the concept of God. I enjoy single origin coffee. Exploring and acquainting myself with new places is a passion. My love for travel led me to write a travelogue ‘Footloose in God's own backyard’, a 45 day journey in central Kerala in South of India for a travel company. I have written a few books: ‘Vignettes’ and ‘Silhouettes’ are collections of poetry. Chatroom Blues, a novella set in Internet chatrooms published by Printreach in association with Indiatimes, an eBook - ‘The Coffee Shop Tango’ which was a finalist in the 24 hours writers challenge. I am responsible for starting two literary movements - The Pune Lit Circle and The Mumbai Writers Cafe now called Caferati. I have been a research assistant for a doctoral PhD thesis on the ‘Theatre of the Absurd’. I am usually a storyteller to my daughter, which led to the creation of a series of children's books that revolve around the adventures of a little girl call Tarakshi and her pet crow called Kaa. The first book in the series is available on Amazon, the second one in the series is on the way. Another children's ebook called The Runaway Dosa is available on Kindle. I am usually found on weekends declawing my 5 year old cat named Kitteshwari Links to my work Adventures of Taarakshi and Kaa : https://www.amazon.in/Adventures-Taarakshi-Sunil-Nair/dp/8193631803 The Runaway Dosa : https://www.amazon.in/Runaway-Dosa-Sunil-Nair-ebook/dp/B07QVDPPCN My abstract paintings are available for sale here : https://www.mojarto.com/artists/sunil-nair-109487 Lauched Firework in India in 2019. Firework is the world's leading immersive ""shoppertainment"" platform with shoppable video, live streaming commerce and monetization capabilities powering over 600 direct-to-consumer brands, retailers and media publishers worldwide. Pandemic-accelerated, Firework has experienced 10x year-over-year growth, bringing interactive video experiences, all by adding just one line of HTML code to their own website. Firework enables its customers to create and host native, shoppable video content for engaging product discovery, seamless shopping experiences and ultimately, a deeper emotional connection with consumers. The company is backed by IDG Capital, Lightspeed Venture Partners, GSR Ventures, American Express and Softbank Vision Fund with over $235 million in capital raised to date. To learn more, please visit www.firework.tv.Lauched Firework in India in 2019. Firework is the world's leading immersive ""shoppertainment"" platform with shoppable video, live streaming commerce and monetization capabilities powering over 600 direct-to-consumer brands, retailers and media publishers worldwide. Pandemic-accelerated, Firework has experienced 10x year-over-year growth, bringing interactive video experiences, all by adding just one line of HTML code to their own website. Firework enables its customers to create and host native, shoppable video content for engaging product discovery, seamless shopping experiences and ultimately, a deeper emotional connection with consumers. The company is backed by IDG Capital, Lightspeed Venture Partners, GSR Ventures, American Express and Softbank Vision Fund with over $235 million in capital raised to date. To learn more, please visit www.firework.tv. Skills: SaaS Sales · Strategic Partnerships · Business Development · Content Strategy Helping Key Venture find exciting early stage startups in the areas of D2C, Online Video, SAAS and Web3 Responsible for building India's first pure play original video content platform. Strategy, Marketing, Revenue, Business Development, Alliances, Platform, Technology and Big Data Inference Engines. ALTBalaji SVOD platform is deep and wide with not just Android and iOS apps. The service is available on Windows Universal App, Roku, Amazon Fire, Android TV, Apple TV, Opera TV, Jio STB and very soon on smart STBs of DTH providers. We have integrated with payment options that cover all wallets and digital payment options. The service is also preloaded on OEMs, available bundled with ecommerce portals and as part of the entertainment packs of major telcos. We launched the service successfully on 16 April 2017 Video. Intelligence. Personalization. MetaData. Analytics. Predictive Engines. Perceptions. Knowledge. Ecosystems. And Entertainment. On Demand. Heady Mix? We are brewing something unique and awesome. It will hit you soon and you will thank us for rescuing you from the depths of mediocrity. Once set free, you will never return to your old ways.. We are spread across 3 countries and 5 cities. Created in New York, engineered in Mumbai and to be sold globally. So obviously it will take time. We just have to be patience and anticipate awesome. In other words, we are in stealth mode. Reliance Jio is Reliance Industries' 4G LTE and FTTH venture. I was responsible for new initiatives, innovation, business development and original content strategy. Worked on the product and content strategy around News, Gaming and Original vertical. Created prototypes of a STB based gaming offering and news offering that brought together over 500 publications under one umbrella. Interesting times ahead in Original Content, Original Music, Gaming, News, OTT Services and alliances and partnerships when the 4G services launch next year."
Sunil Pillai + iValue,"Founder of iValue InfoSolutions Pvt LtdSunil Pillai is the Chief Operating Officer and Co-founder of iValue InfoSolutions. Prior to iValue InfoSolutions, Sunil has worked as General Manager at Select Technologies - a subsidiary of Wipro e Peripherals. Sunil has over 18 years of experience in the Indian IT industry. Sunil was instrumental in creating largest business for information protection and management space in India. A strong leader and team player, Sunil has been instrumental in creating a many market leaders in India for many brands. Adept at building lasting relationships, Sunil brings an established network of Channel Partners, Vendors and End-Customers to the organization.Sunil is married to Hilda and has two kids - Saakshi & Sania. Product Management, Sales Management, Marketing Management, Communication Management, Principal Management, Brand Management."
